CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issued
09.358.105/0001-91;CETIP S.A. - BALC;2015-01-01;21792;55347;9;PN;0;0
09.358.105/0001-91;CETIP S.A. - BALC;2016-01-01;21792;64661;20;ON;0;262978823
09.358.105/0001-91;CETIP S.A. - BALC;2016-01-01;21792;64661;20;PN;0;0
09.358.105/0001-91;CETIP S.A. - BALC;2017-01-01;21792;66347;1;ON;0;262978823
09.358.105/0001-91;CETIP S.A. - BALC;2017-01-01;21792;66347;1;PN;0;0
09.594.796/0001-22;AGV HOLDING S/A;2010-01-01;21806;1518;1;ON;0;0
09.594.796/0001-22;AGV HOLDING S/A;2010-01-01;21806;1518;1;PN;0;0
09.594.796/0001-22;AGV HOLDING S/A;2011-01-01;21806;8837;1;ON;0;0
09.594.796/0001-22;AGV HOLDING S/A;2011-01-01;21806;8837;1;PN;0;0
09.594.796/0001-22;AGV HOLDING S/A;2012-01-01;21806;21700;2;ON;0;742224308
09.594.796/0001-22;AGV HOLDING S/A;2012-01-01;21806;21700;2;PN;0;0
09.594.796/0001-22;AGV HOLDING S/A;2013-01-01;21806;34480;2;ON;0;742224308
09.594.796/0001-22;AGV HOLDING S/A;2013-01-01;21806;34480;2;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2010-01-01;21814;1824;2;ON;0;1259018008
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2010-01-01;21814;1824;2;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2011-01-01;21814;12121;3;ON;0;1712476163
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2011-01-01;21814;12121;3;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2012-01-01;21814;26590;2;ON;0;1712476163
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2012-01-01;21814;26590;2;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2013-01-01;21814;37379;4;ON;0;1712476163
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2013-01-01;21814;37379;4;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2014-01-01;21814;47032;5;ON;0;1712476163
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2014-01-01;21814;47032;5;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2015-01-01;21814;56729;7;ON;0;1712476162
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2015-01-01;21814;56729;7;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2016-01-01;21814;59494;2;ON;0;1712476162
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2016-01-01;21814;59494;2;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2017-01-01;21814;73802;3;ON;0;1712476162
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2017-01-01;21814;73802;3;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2018-01-01;21814;76110;2;ON;0;1712476162
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2018-01-01;21814;76110;2;PN;0;0
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2019-01-01;21814;84405;1;ON;0;1712476162
09.257.877/0001-37;FERROVIA NORTE SUL S/A;2019-01-01;21814;84405;1;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2010-01-01;21822;6989;5;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2010-01-01;21822;6989;5;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2011-01-01;21822;16742;7;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2011-01-01;21822;16742;7;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2012-01-01;21822;24015;6;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2012-01-01;21822;24015;6;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2013-01-01;21822;38157;7;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2013-01-01;21822;38157;7;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2014-01-01;21822;44767;3;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2014-01-01;21822;44767;3;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2015-01-01;21822;56825;5;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2015-01-01;21822;56825;5;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2016-01-01;21822;64255;5;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2016-01-01;21822;64255;5;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2017-01-01;21822;66280;1;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2017-01-01;21822;66280;1;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2018-01-01;21822;82039;6;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2018-01-01;21822;82039;6;PN;0;0
02.679.185/0001-38;AUTOVIAS S/A;2019-01-01;21822;84309;1;ON;0;125040451
02.679.185/0001-38;AUTOVIAS S/A;2019-01-01;21822;84309;1;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2010-01-01;21830;7029;5;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2010-01-01;21830;7029;5;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2011-01-01;21830;16746;7;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2011-01-01;21830;16746;7;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2012-01-01;21830;24034;4;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2012-01-01;21830;24034;4;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2013-01-01;21830;38172;7;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2013-01-01;21830;38172;7;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2014-01-01;21830;44784;3;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2014-01-01;21830;44784;3;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2015-01-01;21830;56826;3;ON;0;1071134
02.366.097/0001-86;VIANORTE S/A;2015-01-01;21830;56826;3;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2016-01-01;21830;64258;4;ON;0;1132038
02.366.097/0001-86;VIANORTE S/A;2016-01-01;21830;64258;4;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2017-01-01;21830;66289;1;ON;0;1132038
02.366.097/0001-86;VIANORTE S/A;2017-01-01;21830;66289;1;PN;0;0
02.366.097/0001-86;VIANORTE S/A;2018-01-01;21830;75838;2;ON;0;1132038
02.366.097/0001-86;VIANORTE S/A;2018-01-01;21830;75838;2;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2010-01-01;21849;6957;6;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2010-01-01;21849;6957;6;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2011-01-01;21849;16754;5;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2011-01-01;21849;16754;5;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2012-01-01;21849;23173;4;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2012-01-01;21849;23173;4;PN;0;0
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2013-01-01;21849;38183;7;ON;0;4352285
03.207.703/0001-83;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;2013-01-01;21849;38183;7;PN;0;0
