"";"Ticker_ON_YAHOO";"CD_CVM";"CNPJ_CIA";"DT_REFER";"ON";"PN";"DENOM_SOCIAL";"DT_REG";"Ticker_ON";"Ticker_PN";"Ticker_UN";"a";"dataPreco";"price.close";"ref.date";"valorDeMercado"
"17";"CIEL3.SA";21733;"01.027.058/0001-91";2010-01-01;545913520;0;"CIELO S.A.";2009-06-25;"CIEL3";NA;NA;2010-06-25;2010-06-25;8,238498;2010-06-25;4497507442,69296
"18";"CPFE3.SA";18660;"02.429.144/0001-93";2010-01-01;481137130;0;"CPFL ENERGIA SA";2000-05-18;"CPFE3";NA;NA;2010-06-25;2010-06-25;18,599537;2010-06-25;8948927851,50881
"19";"CRDE3.SA";20630;"07.820.907/0001-46";2010-01-01;46136250;0;"CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A";2007-04-16;"CRDE3";NA;NA;2010-06-25;2010-06-25;104;2010-06-25;4798170000
"20";"CSMG3.SA";19445;"17.281.106/0001-03";2010-01-01;115299504;0;"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";2003-09-17;"CSMG3";NA;NA;2010-06-25;2010-06-25;8,365091;2010-06-25;964490843,214864
"21";"CSNA3.SA";4030;"33.042.730/0001-04";2010-01-01;1510359220;0;"CIA SIDERURGICA NACIONAL";1943-02-26;"CSNA3";NA;NA;2010-06-25;2010-06-25;27,9;2010-06-25;42139022238
"22";"CYRE3.SA";14460;"73.178.600/0001-18";2010-01-01;423003887;0;"CYRELA BRAZIL REALTY SA EMPRS E PARTS";1994-07-07;"CYRE3";NA;NA;2010-06-25;2010-06-25;20,950001;2010-06-25;8861931855,65389
"23";"DASA3.SA";19623;"61.486.650/0001-83";2010-01-01;311803015;0;"DIAGNOSTICOS DA AMERICA SA";2004-11-05;"DASA3";NA;NA;2010-06-25;2010-06-25;16,246361;2010-06-25;5065664342,57841
"24";"DIRR3.SA";21350;"16.614.075/0001-00";2010-01-01;133407162;0;"DIRECIONAL ENGENHARIA SA";2008-02-29;"DIRR3";NA;NA;2010-06-25;2010-06-25;10,49;2010-06-25;1399441129,38
"25";"DTEX3.SA";21091;"97.837.181/0001-47";2010-01-01;550035331;0;"DURATEX S.A.";2007-09-10;"DTEX3";NA;NA;2010-06-25;2010-06-25;11,408105;2010-06-25;6274860809,75776
"26";"ECOR3.SA";19453;"04.149.454/0001-80";2010-01-01;558699080;0;"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.";2003-09-24;"ECOR3";NA;NA;2010-06-25;2010-06-25;9,8;2010-06-25;5475250984
"27";"EGIE3.SA";17329;"02.474.103/0001-19";2010-01-01;652742192;0;"ENGIE BRASIL ENERGIA S.A.";1998-05-28;"EGIE3";NA;NA;2010-06-25;2010-06-25;16,76;2010-06-25;10939959137,92
"28";"EMBR3.SA";20087;"07.689.002/0001-89";2010-01-01;740465044;0;"EMBRAER S.A.";2006-05-23;"EMBR3";NA;NA;2010-06-25;2010-06-25;9,93;2010-06-25;7352817886,92
"29";"EQTL3.SA";20010;"03.220.438/0001-73";2010-01-01;109226672;0;"EQUATORIAL ENERGIA S/A";2006-03-30;"EQTL3";NA;NA;2010-06-25;2010-06-25;3,136013;2010-06-25;342536263,338736
"30";"EVEN3.SA";20524;"43.470.988/0001-65";2010-01-01;233293408;0;"EVEN CONSTRUTORA E INCORPORADORA S/A";2007-03-02;"EVEN3";NA;NA;2010-06-25;2010-06-25;7,12;2010-06-25;1661049064,96
"31";"EZTC3.SA";20770;"08.312.229/0001-73";2010-01-01;146724120;0;"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A";2007-06-15;"EZTC3";NA;NA;2010-06-25;2010-06-25;6,221099;2010-06-25;912785276,20788
"32";"FRIO3.SA";20613;"04.821.041/0001-08";2010-01-01;41439330;0;"METALFRIO SOLUTIONS S/A";2007-04-10;"FRIO3";NA;NA;2010-06-25;2010-06-25;305,81131;2010-06-25;12672615792,8223
"33";"GFSA3.SA";16101;"01.545.826/0001-07";2010-01-01;431509499;0;"GAFISA SA";1997-02-21;"GFSA3";NA;NA;2010-06-25;2010-06-25;82,217216;2010-06-25;35477509685,3348
"34";"GPAR3.SA";21393;"08.560.444/0001-93";2010-01-01;32780366;0;"COMPANHIA CELG DE PARTICIPAÇÕES";2008-03-14;"GPAR3";NA;NA;2010-06-25;2010-06-25;34,900002;2010-06-25;1144034838,96073
"35";"GRND3.SA";19615;"89.850.341/0001-60";2010-01-01;300720000;0;"GRENDENE SA";2004-10-26;"GRND3";NA;NA;2010-06-25;2010-06-25;2,99;2010-06-25;899152800
"36";"GSHP3.SA";21008;"08.764.621/0001-53";2010-01-01;50480600;0;"GENERAL SHOPPING E OUTLETS DO BRASIL S.A.";2007-07-26;"GSHP3";NA;NA;2010-06-25;2010-06-25;323,997406;2010-06-25;16355583453,3236
"37";"HBOR3.SA";20877;"49.263.189/0001-02";2010-01-01;65096907;0;"HELBOR EMPREENDIMENTOS S/A";2007-07-09;"HBOR3";NA;NA;2010-06-25;2010-06-25;15,509292;2010-06-25;1009606938,95984
"38";"HGTX3.SA";14761;"78.876.950/0001-71";2010-01-01;162722079;0;"CIA HERING";1995-01-26;"HGTX3";NA;NA;2010-06-25;2010-06-25;9,483333;2010-06-25;1543147661,60931
"39";"HYPE3.SA";21431;"02.932.074/0001-91";2010-01-01;547846370;0;"HYPERA S/A";2008-04-16;"HYPE3";NA;NA;2010-06-25;2010-06-25;24;2010-06-25;13148312880
"40";"IGTA3.SA";20494;"51.218.147/0001-93";2010-01-01;79255489;0;"IGUATEMI EMPRESA DE SHOPPING CENTERS S/A";2007-02-02;"IGTA3";NA;NA;2010-06-25;2010-06-25;15,877089;2010-06-25;1258346452,59152
"41";"JBSS3.SA";20575;"02.916.265/0001-60";2010-01-01;2567471476;0;"JBS SA";2007-03-27;"JBSS3";NA;NA;2010-06-25;2010-06-25;8,1;2010-06-25;20796518955,6
"42";"JHSF3.SA";20605;"08.294.224/0001-65";2010-01-01;426374825;0;"JHSF PARTICIPAÇÕES SA";2007-04-04;"JHSF3";NA;NA;2010-06-25;2010-06-25;2,89;2010-06-25;1232223244,25
"43";"LEVE3.SA";8575;"60.476.884/0001-87";2010-01-01;42769500;0;"MAHLE METAL LEVE S.A.";1977-07-20;"LEVE3";NA;NA;2010-06-25;2010-06-25;16,666666;2010-06-25;712824971,487
"44";"LLIS3.SA";21440;"49.669.856/0001-43";2010-01-01;57250000;0;"RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA";2008-04-18;"LLIS3";NA;NA;2010-06-25;2010-06-25;17,243349;2010-06-25;987181730,25
"45";"LOGN3.SA";20710;"42.278.291/0001-24";2010-01-01;91711620;0;"LOG-IN LOGISTICA INTERMODAL SA";2007-06-04;"LOGN3";NA;NA;2010-06-25;2010-06-25;28,73671;2010-06-25;2635490227,5702
"46";"LPSB3.SA";20370;"08.078.847/0001-09";2010-01-01;49568644;0;"LPS BRASIL CONSULTORIA DE IMOVEIS S/A";2006-12-12;"LPSB3";NA;NA;2010-06-25;2010-06-25;11,82953;2010-06-25;586373761,25732
"47";"LREN3.SA";8133;"92.754.738/0001-62";2010-01-01;122349065;0;"LOJAS RENNER SA";1977-07-20;"LREN3";NA;NA;2010-06-25;2010-06-25;8,092561;2010-06-25;990117271,805465
"48";"MDIA3.SA";20338;"07.206.816/0001-15";2010-01-01;113450000;0;"M DIAS BRANCO SA IND E COM DE ALIMENTOS";2006-10-11;"MDIA3";NA;NA;2010-06-25;2010-06-25;13;2010-06-25;1474850000
"49";"MRFG3.SA";20788;"03.853.896/0001-40";2010-01-01;346983954;0;"MARFRIG GLOBAL FOODS SA";2007-06-18;"MRFG3";NA;NA;2010-06-25;2010-06-25;17,65;2010-06-25;6124266788,1
"50";"MRVE3.SA";20915;"08.343.492/0001-20";2010-01-01;482435340;0;"MRV ENGENHARIA E PARTICIPAÇÕES S/A";2007-07-13;"MRVE3";NA;NA;2010-06-25;2010-06-25;12,318327;2010-06-25;5942796274,47618
"51";"MYPK3.SA";11932;"61.156.113/0001-75";2010-01-01;94863372;0;"IOCHPE-MAXION SA";1984-07-17;"MYPK3";NA;NA;2010-06-25;2010-06-25;16,017231;2010-06-25;1519448542,76293
"52";"ODPV3.SA";20125;"58.119.199/0001-51";2010-01-01;177098264;0;"ODONTOPREV S/A";2006-06-13;"ODPV3";NA;NA;2010-06-25;2010-06-25;4,941666;2010-06-25;875160469,867824
"53";"OSXB3.SA";21342;"09.112.685/0001-32";2010-01-01;3063000;0;"OSX BRASIL S.A.";2008-02-26;"OSXB3";NA;NA;2010-06-25;2010-06-25;2040;2010-06-25;6248520000
"54";"PFRM3.SA";20346;"45.453.214/0001-51";2010-01-01;36300000;0;"PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS";2006-10-24;"PFRM3";NA;NA;2010-06-25;2010-06-25;14,782036;2010-06-25;536587906,8
"55";"PLAS3.SA";13471;"51.928.174/0001-50";2010-01-01;166430346;0;"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A";1989-04-19;"PLAS3";NA;NA;2010-06-25;2010-06-25;182,5;2010-06-25;30373538145
"56";"PMAM3.SA";9393;"60.398.369/0004-79";2010-01-01;319176942;0;"PARANAPANEMA SA";1977-07-20;"PMAM3";NA;NA;2010-06-25;2010-06-25;97,579216;2010-06-25;31145035765,6375
"57";"POSI3.SA";20362;"81.243.735/0001-48";2010-01-01;87800000;0;"POSITIVO TECNOLOGIA S.A.";2006-12-06;"POSI3";NA;NA;2010-06-25;2010-06-25;17,450001;2010-06-25;1532110087,8
"58";"PPAR3.SA";13447;"59.789.545/0001-71";2010-01-01;74000;0;"POLPAR S.A.";1989-03-03;"PPAR3";NA;NA;2010-06-25;2010-06-25;250,020004;2010-06-25;18501480,296
"59";"PSSA3.SA";16659;"02.149.205/0001-69";2010-01-01;327641730;0;"PORTO SEGURO SA";1997-11-28;"PSSA3";NA;NA;2010-06-25;2010-06-25;18,9;2010-06-25;6192428697
"60";"RADL3.SA";5258;"61.585.865/0001-51";2010-01-01;62773340;0;"RAIA DROGASIL S.A.";1977-07-20;"RADL3";NA;NA;2010-06-25;2010-06-25;2,266666;2010-06-25;142286195,48444
"61";"RDNI3.SA";20451;"67.010.660/0001-24";2010-01-01;48575200;0;"RNI NEGÓCIOS IMOBILIÁRIOS S.A.";2007-01-18;"RDNI3";NA;NA;2010-06-25;2010-06-25;11,8;2010-06-25;573187360
"62";"RENT3.SA";19739;"16.670.085/0001-55";2010-01-01;201708000;0;"LOCALIZA RENT A CAR SA";2005-05-06;"RENT3";NA;NA;2010-06-25;2010-06-25;6,133246;2010-06-25;1237124784,168
"63";"ROMI3.SA";7510;"56.720.428/0001-63";2010-01-01;74757547;0;"INDÚSTRIAS ROMI S.A.";1938-04-19;"ROMI3";NA;NA;2010-06-25;2010-06-25;9,171425;2010-06-25;685633235,494475
"64";"RSID3.SA";16306;"61.065.751/0001-80";2010-01-01;266436388;0;"ROSSI RESIDENCIAL SA";1997-07-01;"RSID3";NA;NA;2010-06-25;2010-06-25;334,086151;2010-06-25;89012707353,2626
"65";"SCAR3.SA";13781;"29.780.061/0001-09";2010-01-01;59500000;0;"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A";1991-03-25;"SCAR3";NA;NA;2010-06-25;2010-06-25;16,27;2010-06-25;968065000
"66";"SGPS3.SA";20966;"07.718.269/0001-57";2010-01-01;143647424;0;"SPRINGS GLOBAL PARTICIPAÇÕES S/A";2007-07-25;"SGPS3";NA;NA;2010-06-25;2010-06-25;19,625002;2010-06-25;2819080983,29485
"67";"SLCE3.SA";20745;"89.096.457/0001-55";2010-01-01;98897500;0;"SLC AGRICOLA SA";2007-06-12;"SLCE3";NA;NA;2010-06-25;2010-06-25;6,85;2010-06-25;677447875
"68";"TCSA3.SA";20435;"08.065.557/0001-12";2010-01-01;185265289;0;"TECNISA S/A";2007-01-09;"TCSA3";NA;NA;2010-06-25;2010-06-25;80,789848;2010-06-25;14967554537,9861
"69";"TESA3.SA";20354;"05.799.312/0001-20";2010-01-01;1084190282;0;"TERRA SANTA AGRO S.A.";2006-11-09;"TESA3";NA;NA;2010-06-25;2010-06-25;220,898071;2010-06-25;239495541890,746
"70";"TGMA3.SA";20800;"02.351.144/0001-18";2010-01-01;66002915;0;"TEGMA GESTÃO LOGÍSTICA SA";2007-06-28;"TGMA3";NA;NA;2010-06-25;2010-06-25;15,18;2010-06-25;1001924249,7
"71";"TOTS3.SA";19992;"53.113.791/0001-22";2010-01-01;31460272;0;"TOTVS S.A";2006-03-07;"TOTS3";NA;NA;2010-06-25;2010-06-25;8,537778;2010-06-25;268600818,155616
"72";"TRIS3.SA";21130;"08.811.643/0001-27";2010-01-01;81798769;0;"TRISUL S/A";2007-10-10;"TRIS3";NA;NA;2010-06-25;2010-06-25;3;2010-06-25;245396307
"73";"VLID3.SA";20028;"33.113.309/0001-47";2010-01-01;56650000;0;"VALID SOLUÇÕES S.A.";2006-04-12;"VLID3";NA;NA;2010-06-25;2010-06-25;12,438016;2010-06-25;704613606,4
"74";"VVAR3.SA";6505;"33.041.260/0652-90";2010-01-01;123804540;0;"VIA VAREJO S.A.";1981-11-24;"VVAR3";NA;NA;2010-06-25;2010-06-25;3,3;2010-06-25;408554982
"75";"WEGE3.SA";5410;"84.429.695/0001-11";2010-01-01;620905029;0;"WEG SA";1982-02-09;"WEGE3";NA;NA;2010-06-25;2010-06-25;2,531065;2010-06-25;1571550987,22588
"76";"YDUQ3.SA";21016;"08.807.432/0001-10";2010-01-01;78751843;0;"YDUQS PARTICIPACOES S.A.";2007-07-26;"YDUQ3";NA;NA;2010-06-25;2010-06-25;6,526666;2010-06-25;513986976,145438
